cotacaoCompra,cotacaoVenda,dataHoraCotacao
"3,2429","3,2435",2016-06-29 13:13:40.493
"3,2092","3,2098",2016-06-30 13:09:00.093
"3,2292","3,2298",2016-07-01 13:11:49.106
"3,2474","3,248",2016-07-04 13:02:59.354
"3,2898","3,2904",2016-07-05 13:07:00.556
"3,3236","3,3242",2016-07-06 13:09:46.708
"3,3382","3,3388",2016-07-07 13:05:33.926
"3,2962","3,2968",2016-07-08 13:04:52.766
"3,3025","3,3031",2016-07-11 13:04:51.31
"3,2744","3,275",2016-07-12 13:04:17.547
"3,289","3,2896",2016-07-13 13:04:25.841
"3,2305","3,2311",2016-07-14 13:04:56.859
"3,265","3,2656",2016-07-15 13:06:54.068
"3,2628","3,2634",2016-07-18 13:03:35.615
"3,2795","3,2801",2016-07-19 13:09:48.308
"3,2506","3,2512",2016-07-20 13:08:49.368
"3,2579","3,2585",2016-07-21 13:11:55.399
"3,2848","3,2854",2016-07-22 13:08:46.187
"3,2813","3,2819",2016-07-25 13:11:09.861
"3,2784","3,279",2016-07-26 13:06:02.39
"3,2814","3,282",2016-07-27 13:03:49.634
"3,2734","3,274",2016-07-28 13:09:51.326
"3,2384","3,239",2016-07-29 13:11:02.506
"3,2656","3,2662",2016-08-01 13:07:52.331
"3,2484","3,249",2016-08-02 13:06:44.706
"3,2727","3,2733",2016-08-03 13:04:59.881
"3,2177","3,2183",2016-08-04 13:03:54.077
"3,1853","3,1859",2016-08-05 13:11:09.805
"3,1765","3,1771",2016-08-08 13:11:09.552
"3,1497","3,1503",2016-08-09 13:09:55.308
"3,1296","3,1302",2016-08-10 13:03:48.37
"3,1358","3,1364",2016-08-11 13:10:35.067
"3,1596","3,1602",2016-08-12 13:11:59.901
"3,1666","3,1672",2016-08-15 13:06:44.773
"3,1743","3,1749",2016-08-16 13:04:14.066
"3,2242","3,2248",2016-08-17 13:17:38.966
"3,2209","3,2215",2016-08-18 13:10:03.273
"3,2261","3,2267",2016-08-19 13:04:04.486
"3,2157","3,2163",2016-08-22 13:08:52.23
"3,2047","3,2054",2016-08-23 13:02:56.681
"3,2366","3,2372",2016-08-24 13:08:46.787
"3,2313","3,2319",2016-08-25 13:10:46.407
"3,2147","3,2153",2016-08-26 13:05:53.75
"3,2607","3,2613",2016-08-29 13:18:14.682
"3,2519","3,2525",2016-08-30 13:09:35.123
"3,2397","3,2403",2016-08-31 13:08:44.335
"3,2466","3,2472",2016-09-01 13:10:10.989
"3,2425","3,2431",2016-09-02 13:05:51.688
"3,2715","3,2721",2016-09-05 13:09:55.659
"3,2446","3,2452",2016-09-06 13:02:39.984
"3,1928","3,1934",2016-09-08 13:03:53.968
"3,2632","3,2638",2016-09-09 13:14:00.885
"3,2848","3,2854",2016-09-12 13:08:01.541
"3,2966","3,2972",2016-09-13 13:03:56.534
"3,3256","3,3262",2016-09-14 13:05:51.819
"3,332","3,3326",2016-09-15 13:08:34.825
"3,2998","3,3004",2016-09-16 13:04:11.365
"3,263","3,2636",2016-09-19 13:07:42.039
"3,2534","3,254",2016-09-20 13:12:19.587
"3,2402","3,2408",2016-09-21 13:02:47.389
"3,2009","3,2015",2016-09-22 13:11:01.456
"3,2236","3,2242",2016-09-23 13:07:33.878
"3,2394","3,24",2016-09-26 13:03:06.766
"3,2352","3,2358",2016-09-27 13:09:07.923
"3,247","3,2476",2016-09-28 13:14:19.99
"3,2229","3,2235",2016-09-29 13:11:04.635
"3,2456","3,2462",2016-09-30 13:05:54.372
"3,2332","3,2338",2016-10-03 13:08:48.23
"3,2197","3,2203",2016-10-04 13:13:07.366
"3,2353","3,2359",2016-10-05 13:05:40.988
"3,2304","3,231",2016-10-06 13:13:25.253
"3,2128","3,2134",2016-10-07 13:03:53.818
"3,2119","3,2125",2016-10-10 13:06:44.704
"3,213","3,2136",2016-10-11 13:09:48.113
"3,2081","3,2087",2016-10-13 13:04:50.101
"3,1858","3,1864",2016-10-14 13:12:14.774
"3,1957","3,1963",2016-10-17 13:05:14.708
"3,1868","3,1874",2016-10-18 13:09:20.862
"3,1794","3,18",2016-10-19 13:10:53.592
"3,1599","3,1605",2016-10-20 13:03:10.953
"3,1587","3,1593",2016-10-21 13:06:28.783
"3,1305","3,1311",2016-10-24 13:02:54.15
"3,1187","3,1193",2016-10-25 13:08:42.653
"3,1213","3,1219",2016-10-26 13:09:41.53
"3,1423","3,1429",2016-10-27 13:04:09.268
"3,1809","3,1815",2016-10-28 13:09:46.723
"3,1805","3,1811",2016-10-31 13:05:59.103
"3,2047","3,2053",2016-11-01 13:12:22.648
"3,2304","3,231",2016-11-03 13:13:02.201
"3,2443","3,2449",2016-11-04 13:08:46.367
"3,2018","3,2024",2016-11-07 13:04:03.991
"3,2018","3,2024",2016-11-08 13:11:00.123
"3,2252","3,2258",2016-11-09 13:07:07.772
"3,3098","3,3104",2016-11-10 13:07:02.302
"3,4371","3,4377",2016-11-11 13:04:24.987
"3,444","3,4446",2016-11-14 13:04:30.445
"3,4177","3,4183",2016-11-16 13:09:06.515
"3,4046","3,4052",2016-11-17 13:07:32.351
"3,3911","3,3917",2016-11-18 13:10:46.872
"3,3511","3,3517",2016-11-21 13:06:39.961
"3,347","3,3476",2016-11-22 13:03:49.108
"3,3921","3,3927",2016-11-23 13:06:45.266
"3,3981","3,3987",2016-11-24 13:08:00.952
"3,4273","3,4279",2016-11-25 13:06:32.339
"3,399","3,3996",2016-11-28 13:09:49.923
"3,4054","3,406",2016-11-29 13:08:56.969
"3,3961","3,3967",2016-11-30 13:06:46.879
"3,4356","3,4362",2016-12-01 13:11:09.915
"3,4644","3,465",2016-12-02 13:05:53.836
"3,4592","3,4598",2016-12-05 13:06:12.544
"3,4348","3,4354",2016-12-06 13:05:08.947
"3,3889","3,3895",2016-12-07 13:08:46.997
"3,4002","3,4008",2016-12-08 13:12:01.575
"3,3852","3,3858",2016-12-09 13:05:51.876
"3,3691","3,3697",2016-12-12 13:07:51.106
"3,3334","3,334",2016-12-13 13:08:06.418
"3,3097","3,3103",2016-12-14 13:09:51.237
"3,3824","3,383",2016-12-15 13:02:46.232
"3,3706","3,3712",2016-12-16 13:08:02.388
"3,3772","3,3778",2016-12-19 13:12:07.729
"3,358","3,3586",2016-12-20 13:05:58.395
"3,3291","3,3297",2016-12-21 13:40:41.528
"3,3296","3,3302",2016-12-22 13:08:04.834
"3,269","3,2696",2016-12-23 13:11:53.756
"3,2695","3,2701",2016-12-26 13:12:01.982
"3,277","3,2776",2016-12-27 13:06:58.497
"3,2768","3,2774",2016-12-28 13:04:46.847
"3,2585","3,2591",2016-12-29 13:04:20.815
"3,2585","3,2591",2016-12-30 13:02:50.823
"3,2723","3,2729",2017-01-02 13:07:18.146
"3,2626","3,2632",2017-01-03 13:07:34.023
"3,2327","3,2333",2017-01-04 13:11:50.501
"3,2123","3,2129",2017-01-05 13:04:07.266
"3,2051","3,2057",2017-01-06 13:13:42.955
"3,2091","3,2097",2017-01-09 13:08:58.927
"3,1912","3,1918",2017-01-10 13:08:06.682
"3,2148","3,2154",2017-01-11 13:07:48.319
"3,1655","3,1661",2017-01-12 13:03:09.376
"3,2028","3,2034",2017-01-13 13:09:16.027
"3,2228","3,2234",2017-01-16 13:12:00.606
"3,2094","3,21",2017-01-17 13:06:55.733
"3,2205","3,2211",2017-01-18 13:05:28.424
"3,2107","3,2113",2017-01-19 13:08:52.51
"3,1912","3,1918",2017-01-20 13:13:39.174
"3,1603","3,1609",2017-01-23 13:12:54.933
"3,1643","3,1649",2017-01-24 13:09:02.65
"3,1679","3,169",2017-01-25 13:11:24.662
"3,1798","3,1804",2017-01-26 13:04:31.844
"3,159","3,1596",2017-01-27 13:08:38.93
"3,131","3,1316",2017-01-30 13:11:37.661
"3,1264","3,127",2017-01-31 13:08:43.585
"3,1473","3,1479",2017-02-01 13:05:55.817
"3,119","3,1196",2017-02-02 13:12:12.939
"3,1235","3,1241",2017-02-03 13:09:11.345
"3,1173","3,1179",2017-02-06 13:06:01.029
"3,1298","3,1304",2017-02-07 13:08:50.541
"3,1248","3,1255",2017-02-08 13:08:38.814
"3,1179","3,1185",2017-02-09 13:04:29.047
"3,1149","3,1155",2017-02-10 13:05:48.228
"3,1169","3,1175",2017-02-13 13:10:48.817
"3,0998","3,1004",2017-02-14 13:03:13.887
"3,0773","3,0779",2017-02-15 13:06:08.276
"3,0504","3,051",2017-02-16 13:08:26.172
"3,0944","3,095",2017-02-17 13:08:02.407
"3,0912","3,0918",2017-02-20 13:08:26.676
"3,0964","3,097",2017-02-21 13:11:26.366
"3,0818","3,0824",2017-02-22 13:08:01.394
"3,0632","3,0638",2017-02-23 13:04:25.564
"3,0987","3,0993",2017-02-24 13:04:50.576
"3,097","3,0976",2017-03-01 15:37:01.96
"3,1132","3,1138",2017-03-02 13:06:27.32
"3,1358","3,1364",2017-03-03 13:07:10.168
"3,1105","3,1111",2017-03-06 13:03:53.512
"3,1179","3,1185",2017-03-07 13:08:12.549
"3,1471","3,1477",2017-03-08 13:03:50.024
"3,1729","3,1735",2017-03-09 13:10:47.085
